timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775599615630,160,/g/collect?v=2&tid=G-9YNMTB56NB&gtm=45je6460v9104228927z8846712008za20gzb846712008zd846712008&_p=1775596714772&gcd=13l3l3l3l1l1&npa=0&dma=0&tcfd=10000&cid=2030637099.1775153458&ul=en-gb&sr=1440x900&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B147.0.7727.56%7CNot.A%252FBrand%3B8.0.0.0%7CChromium%3B147.0.7727.56&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115616985~115938466~115938469~116991816~118131808~118289195&sid=1775594676&sct=5&seg=1&dl=https%3A%2F%2Fwww.w3schools.com%2F&dt=W3Schools%20Online%20Web%20Tutorials&en=page_view&ep.content_group=W3Schools%20Home&tfd=3956-13,204,No Content,Website1 1-60,text,true,,833,1315,62,62,https://www.google-analytics.com/g/collect?v=2&tid=G-9YNMTB56NB&gtm=45je6460v9104228927z8846712008za20gzb846712008zd846712008&_p=1775596714772&gcd=13l3l3l3l1l1&npa=0&dma=0&tcfd=10000&cid=2030637099.1775153458&ul=en-gb&sr=1440x900&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B147.0.7727.56%7CNot.A%252FBrand%3B8.0.0.0%7CChromium%3B147.0.7727.56&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115616985~115938466~115938469~116991816~118131808~118289195&sid=1775594676&sct=5&seg=1&dl=https%3A%2F%2Fwww.w3schools.com%2F&dt=W3Schools%20Online%20Web%20Tutorials&en=page_view&ep.content_group=W3Schools%20Home&tfd=3956,0,0,90
1775599615507,285,/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard&laf=b64bin-23,200,OK,Website1 1-57,text,false,"The operation lasted too long: It took 285 milliseconds, but should not have lasted longer than 250 milliseconds.",1955,521,62,62,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard&laf=b64bin,285,0,122
1775599615726,84,/v1/issuetoken-54,401,Unauthorized,Website1 1-53,text,false,,942,802,62,62,https://oauthaccountmanager.googleapis.com/v1/issuetoken,70,0,0
1775599615585,235,/consent-require-renewal?_profile=stub-2-4,204,No Content,Website1 1-62,,true,,394,567,62,62,https://eu.fastcmp.com/consent-require-renewal?_profile=stub-2,0,0,36
1775599615790,41,/dependencies.js-16,200,OK,Website1 1-60,text,true,,1815,586,62,62,https://assets.sparteo.com/dependencies.js,41,0,28
1775599615630,201,/sync-59,200,OK,Website1 1-48,text,true,,1557,731,62,62,https://pbsj.bricks-co.com/sync?gdpr=0&gdpr_consent=&us_privacy=1---&cb=0.6201544898718191&if=0&origin=https%3A%2F%2Fwww.w3schools.com%2F&src=default&type=f,193,0,0
1775599615831,13,/iFrameSyncer-71,403,Forbidden,Website1 1-48,text,false,,418,962,62,62,https://sync.connectad.io/iFrameSyncer?gdpr=0&consent=&us_privacy=1---&gpp=&gpp_sid=&cb=https%3A%2F%2Fpbsj.bricks-co.com%2Fsetuid%3Fpslabel%3Dnull%26bidder%3Dconnectad%26gdpr%3D0%26gdpr_consent%3D%26us_privacy%3D1---%26gpp%3D%26gpp_sid%3D%26f%3Db%26uid%3D,13,0,0
1775599594824,21027,/get?gdpr=0&gdprConsent=-74,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to idrs.adtelligent.com:443 [idrs.adtelligent.com/62.149.0.74] failed: Connection timed out: connect,Website1 1-2,text,false,"The operation lasted too long: It took 21,027 milliseconds, but should not have lasted longer than 250 milliseconds.",2766,0,62,62,https://idrs.adtelligent.com/get?gdpr=0&gdprConsent=,0,0,21027
1775599615269,583,/visitor/isync-12,204,No Content,Website1 1-59,,false,"The operation lasted too long: It took 583 milliseconds, but should not have lasted longer than 250 milliseconds.",79,1032,62,62,https://visitor.omnitagjs.com/visitor/isync?uid=19340f4f097d16f41f34fc0274981ca4&name=PrebidServer&gdpr=0&gdpr_consent=&us_privacy=1---&url=https%3A%2F%2Fpbsj.bricks-co.com%2Fsetuid%3Fpslabel%3Dnull%26bidder%3Dadyoulike%26gdpr%3D0%26gdpr_consent%3D%26us_privacy%3D1---%26gpp%3D%26gpp_sid%3D%26f%3Db%26uid%3D%5BBUYER_USERID%5D,0,0,391
1775599615792,61,/usync/prbds2s-26,200,,Website1 1-57,,true,,136,947,62,62,https://rtb.gumgum.com/usync/prbds2s?gdpr=0&gdpr_consent=&us_privacy=1---&r=https%3A%2F%2Fpbsj.bricks-co.com%2Fsetuid%3Fpslabel%3Dnull%26bidder%3Dgumgum%26gdpr%3D0%26gdpr_consent%3D%26us_privacy%3D1---%26gpp%3D%26gpp_sid%3D%26f%3Db%26uid%3D,61,0,0
1775599615503,350,/7399839809407/js-73,200,OK,Website1 1-45,text,false,"The operation lasted too long: It took 350 milliseconds, but should not have lasted longer than 250 milliseconds.",83976,716,62,62,https://sonar.viously.com/7399839809407/js?w=https%3A%2F%2Fwww.w3schools.com%2Fsql%2Fsql_union_all.asp&c=&r=https%3A%2F%2Fwww.w3schools.com%2Fsql%2Fdefault.asp&l=EN&v_aot=0,238,0,0
1775599615270,591,/openrtb2/auction-42,200,OK,Website1 1-49,text,false,"The operation lasted too long: It took 591 milliseconds, but should not have lasted longer than 250 milliseconds.",25960,13828,61,61,https://pbsj.bricks-co.com/openrtb2/auction,403,0,0
1775599615699,171,/v1/issuetoken-31,401,Unauthorized,Website1 1-56,text,false,,986,793,61,61,https://oauthaccountmanager.googleapis.com/v1/issuetoken,170,0,89
1775599615684,208,/ia/prediction-30,200,OK,Website1 1-55,text,true,,959,1504,61,61,https://srv.flashb.id/ia/prediction,208,0,0
1775599615831,71,/g/collect?v=2&tid=G-9YNMTB56NB&gtm=45je6460v9104228927z8846712008za20gzb846712008zd846712008&_p=1775596714772&gcs=G111&gcd=13t3t3t3t5l1&npa=0&dma=0&tcfd=1642s&gdid=dMmMwZj&cid=2030637099.1775153458&ul=en-gb&sr=1440x900&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B147.0.7727.56%7CNot.A%252FBrand%3B8.0.0.0%7CChromium%3B147.0.7727.56&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_prs=gs&_eu=AAAAAAQ&_s=2&tag_exp=0~115616985~115938466~115938469~116991816~118131808~118289195&sid=1775594676&sct=5&seg=1&dl=https%3A%2F%2Fwww.w3schools.com%2F&dt=W3Schools%20Online%20Web%20Tutorials&en=Front%20Page&_c=1&ep.content_group=W3Schools%20Home&ep.gaText=Learn%20SQL&ep.gaURL=https%3A%2F%2Fwww.w3schools.com%2Fsql%2Fdefault.asp&ep.gaClass=w3-button%20ga-fp%20w3-block%20tut-button&_et=3282&tfd=3956-15,204,No Content,Website1 1-60,text,true,,833,1498,61,61,https://www.google-analytics.com/g/collect?v=2&tid=G-9YNMTB56NB&gtm=45je6460v9104228927z8846712008za20gzb846712008zd846712008&_p=1775596714772&gcs=G111&gcd=13t3t3t3t5l1&npa=0&dma=0&tcfd=1642s&gdid=dMmMwZj&cid=2030637099.1775153458&ul=en-gb&sr=1440x900&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B147.0.7727.56%7CNot.A%252FBrand%3B8.0.0.0%7CChromium%3B147.0.7727.56&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_prs=gs&_eu=AAAAAAQ&_s=2&tag_exp=0~115616985~115938466~115938469~116991816~118131808~118289195&sid=1775594676&sct=5&seg=1&dl=https%3A%2F%2Fwww.w3schools.com%2F&dt=W3Schools%20Online%20Web%20Tutorials&en=Front%20Page&_c=1&ep.content_group=W3Schools%20Home&ep.gaText=Learn%20SQL&ep.gaURL=https%3A%2F%2Fwww.w3schools.com%2Fsql%2Fdefault.asp&ep.gaClass=w3-button%20ga-fp%20w3-block%20tut-button&_et=3282&tfd=3956,0,0,0
1775599614692,1212,/9606197480919/js-33,200,OK,Website1 1-50,text,false,"The operation lasted too long: It took 1,212 milliseconds, but should not have lasted longer than 250 milliseconds.",83462,693,61,61,https://sonar.viously.com/9606197480919/js?w=https%3A%2F%2Fwww.w3schools.com%2Fsql%2Fdefault.asp&c=&r=https%3A%2F%2Fwww.w3schools.com%2F&l=EN&v_aot=0,683,0,424
1775599615752,178,/fpc-38,200,OK,Website1 1-54,text,true,,723,696,61,61,https://at.teads.tv/fpc?analytics_tag_id=PUB_19579&tfpvi=&gdpr_consent=&gdpr_status=22&gdpr_reason=220&ccpa_consent=&sv=prebid-v1,178,0,28
1775599615870,81,/v1/issuetoken-32,401,Unauthorized,Website1 1-56,text,false,,1003,792,61,61,https://oauthaccountmanager.googleapis.com/v1/issuetoken,70,0,0
1775599615779,191,/beacon-66,200,OK,Website1 1-47,text,true,,325,2190,61,61,https://tn.flashb.id/beacon,191,0,0
1775599615904,76,/v1/issuetoken-57,401,Unauthorized,Website1 1-50,text,false,,929,802,61,61,https://oauthaccountmanager.googleapis.com/v1/issuetoken,70,0,0
1775599615902,88,/v1:GetHints?-14,200,OK,Website1 1-60,text,true,,598,661,61,61,https://optimizationguide-pa.googleapis.com/v1:GetHints?,81,0,0
1775599615930,71,/g/collect?v=2&tid=G-9YNMTB56NB&gtm=45je6460v9104228927z8846712008za20gzb846712008zd846712008&_p=1775596718326&gcd=13l3l3l3l1l1&npa=0&dma=0&tcfd=10000&cid=2030637099.1775153458&ul=en-gb&sr=1440x900&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B147.0.7727.56%7CNot.A%252FBrand%3B8.0.0.0%7CChromium%3B147.0.7727.56&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115938465~115938469~116991817~118392705&sid=1775594676&sct=5&seg=1&dl=https%3A%2F%2Fwww.w3schools.com%2Fsql%2Fdefault.asp&dr=https%3A%2F%2Fwww.w3schools.com%2F&dt=SQL%20Tutorial&en=page_view&ep.content_group=SQL&tfd=2361-46,204,No Content,Website1 1-54,text,true,,833,1315,61,61,https://www.google-analytics.com/g/collect?v=2&tid=G-9YNMTB56NB&gtm=45je6460v9104228927z8846712008za20gzb846712008zd846712008&_p=1775596718326&gcd=13l3l3l3l1l1&npa=0&dma=0&tcfd=10000&cid=2030637099.1775153458&ul=en-gb&sr=1440x900&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B147.0.7727.56%7CNot.A%252FBrand%3B8.0.0.0%7CChromium%3B147.0.7727.56&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115938465~115938469~116991817~118392705&sid=1775594676&sct=5&seg=1&dl=https%3A%2F%2Fwww.w3schools.com%2Fsql%2Fdefault.asp&dr=https%3A%2F%2Fwww.w3schools.com%2F&dt=SQL%20Tutorial&en=page_view&ep.content_group=SQL&tfd=2361,0,0,0
1775599615980,28,/-65,200,OK,Website1 1-50,text,true,,1023,146,61,61,http://x1.c.lencr.org/,28,0,11
1775599615584,436,/openrtb2/auction-78,200,OK,Website1 1-44,text,false,"The operation lasted too long: It took 436 milliseconds, but should not have lasted longer than 250 milliseconds.",22107,24078,61,61,https://pbsj.bricks-co.com/openrtb2/auction,386,0,0
1775599616002,18,/sql/xrcise_union.js-48,200,OK,Website1 1-54,text,true,,1227,577,61,61,https://www.w3schools.com/sql/xrcise_union.js,18,0,0
1775599615853,174,/sync-22,200,OK,Website1 1-57,text,true,,1558,733,61,61,https://pbsj.bricks-co.com/sync?gdpr=0&gdpr_consent=&us_privacy=1---&cb=0.032127006018008775&if=0&origin=https%3A%2F%2Fwww.w3schools.com%2F&src=default&type=f,169,0,0
1775599615844,222,/beacon-63,200,OK,Website1 1-48,text,true,,325,2415,61,61,https://tn.flashb.id/beacon,222,0,0
1775599615892,174,/network/v1/query/url/aHR0cHM6Ly93d3cudzNzY2hvb2xzLmNvbS9zcWwvc3FsX3VuaW9uX2FsbC5hc3A=-36,200,OK,Website1 1-55,text,true,,444,1487,61,61,https://threat.api.mcafee.com/network/v1/query/url/aHR0cHM6Ly93d3cudzNzY2hvb2xzLmNvbS9zcWwvc3FsX3VuaW9uX2FsbC5hc3A=,174,0,117
1775599615852,221,/consent-require-renewal?_profile=stub-2-18,200,OK,Website1 1-59,text,true,,1003,3729,61,61,https://eu.fastcmp.com/consent-require-renewal?_profile=stub-2,221,0,0
1775599616021,65,/g/collect?v=2&tid=G-9YNMTB56NB&gtm=45je6460v9104228927za20gzb846712008zd846712008&_p=1775596718326&gcs=G111&gcd=13t3t3t3t5l1&npa=0&dma=0&tcfd=1642s&gdid=dMmMwZj&cid=2030637099.1775153458&ul=en-gb&sr=1440x900&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B147.0.7727.56%7CNot.A%252FBrand%3B8.0.0.0%7CChromium%3B147.0.7727.56&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115938465~115938469~116991817~118392705&sid=1775594676&sct=5&seg=1&dl=https%3A%2F%2Fwww.w3schools.com%2Fsql%2Fdefault.asp&dr=https%3A%2F%2Fwww.w3schools.com%2F&dt=SQL%20Tutorial&en=user_engagement&ep.content_group=SQL&_et=2107&tfd=2362-47,204,No Content,Website1 1-54,text,true,,833,1341,61,61,https://www.google-analytics.com/g/collect?v=2&tid=G-9YNMTB56NB&gtm=45je6460v9104228927za20gzb846712008zd846712008&_p=1775596718326&gcs=G111&gcd=13t3t3t3t5l1&npa=0&dma=0&tcfd=1642s&gdid=dMmMwZj&cid=2030637099.1775153458&ul=en-gb&sr=1440x900&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B147.0.7727.56%7CNot.A%252FBrand%3B8.0.0.0%7CChromium%3B147.0.7727.56&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115938465~115938469~116991817~118392705&sid=1775594676&sct=5&seg=1&dl=https%3A%2F%2Fwww.w3schools.com%2Fsql%2Fdefault.asp&dr=https%3A%2F%2Fwww.w3schools.com%2F&dt=SQL%20Tutorial&en=user_engagement&ep.content_group=SQL&_et=2107&tfd=2362,0,0,0
1775599616066,30,/sql/sql_union_all.asp-34,200,OK,Website1 1-55,text,true,,44815,758,61,61,https://www.w3schools.com/sql/sql_union_all.asp,29,0,0
1775599616096,74,/v1:GetHints?-35,200,OK,Website1 1-55,text,true,,646,667,62,62,https://optimizationguide-pa.googleapis.com/v1:GetHints?,72,0,0
1775599615970,217,/ia/prediction-67,200,OK,Website1 1-47,text,true,,959,1520,62,62,https://srv.flashb.id/ia/prediction,216,0,0
1775599615624,577,/sync-6,200,OK,Website1 1-61,text,false,"The operation lasted too long: It took 577 milliseconds, but should not have lasted longer than 250 milliseconds.",1562,732,62,62,https://pbsj.bricks-co.com/sync?gdpr=0&gdpr_consent=&us_privacy=1---&cb=0.09964013445725473&if=0&origin=https%3A%2F%2Fwww.w3schools.com%2F&src=default&type=f,576,0,374
1775599616027,197,/beacon-19,200,OK,Website1 1-57,text,true,,325,29117,62,62,https://t.fastcmp.com/beacon,197,0,0
1775599616066,170,/beacon-58,200,OK,Website1 1-48,text,true,,325,29397,62,62,https://t.fastcmp.com/beacon,170,0,0
1775599616202,56,/iFrameSyncer-10,403,Forbidden,Website1 1-61,text,false,,418,962,62,62,https://sync.connectad.io/iFrameSyncer?gdpr=0&consent=&us_privacy=1---&gpp=&gpp_sid=&cb=https%3A%2F%2Fpbsj.bricks-co.com%2Fsetuid%3Fpslabel%3Dnull%26bidder%3Dconnectad%26gdpr%3D0%26gdpr_consent%3D%26us_privacy%3D1---%26gpp%3D%26gpp_sid%3D%26f%3Db%26uid%3D,56,0,21
1775599615853,407,/openrtb2/auction-78,200,OK,Website1 1-45,text,false,"The operation lasted too long: It took 407 milliseconds, but should not have lasted longer than 250 milliseconds.",26744,24078,62,62,https://pbsj.bricks-co.com/openrtb2/auction,354,0,0
1775599615861,412,/cfg/37dc2490-e69a-50b6-b814-d999fdbee40b-50,200,OK,Website1 1-49,text,false,"The operation lasted too long: It took 412 milliseconds, but should not have lasted longer than 250 milliseconds.",95960,829,62,62,https://srv.flashb.id/cfg/37dc2490-e69a-50b6-b814-d999fdbee40b?do=w3schools.com&r=https%3A%2F%2Fwww.w3schools.com%2Fsql%2Fdefault.asp&p=https%3A%2F%2Fwww.w3schools.com%2Fsql%2Fsql_union_all.asp&cb=0.623895065831798&b=Chrome&d=desktop&c=0&aot=100&as_thr=1&pid=1&custom1=sql&custom5=unknown,286,0,0
1775599616074,200,/sync-20,200,OK,Website1 1-59,text,true,,1556,732,62,62,https://pbsj.bricks-co.com/sync?gdpr=0&gdpr_consent=&us_privacy=1---&cb=0.32618970796071134&if=0&origin=https%3A%2F%2Fwww.w3schools.com%2F&src=default&type=f,196,0,0
1775599616127,158,/docs/common/netcheck.gif-1,200,OK,Website1 1-63,bin,true,,800,882,62,62,https://ssl.gstatic.com/docs/common/netcheck.gif?zx=v5bstbghcxzn,158,0,86
1775599616236,63,/usync/prbds2s-72,200,,Website1 1-48,,true,,136,947,62,62,https://rtb.gumgum.com/usync/prbds2s?gdpr=0&gdpr_consent=&us_privacy=1---&r=https%3A%2F%2Fpbsj.bricks-co.com%2Fsetuid%3Fpslabel%3Dnull%26bidder%3Dgumgum%26gdpr%3D0%26gdpr_consent%3D%26us_privacy%3D1---%26gpp%3D%26gpp_sid%3D%26f%3Db%26uid%3D,63,0,0
