timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775597394892,438,/docs/common/netcheck.gif-1,200,OK,Website1 1-1,bin,false,"The operation lasted too long: It took 438 milliseconds, but should not have lasted longer than 250 milliseconds.",800,882,1,1,https://ssl.gstatic.com/docs/common/netcheck.gif?zx=v5bstbghcxzn,438,0,354
1775597395334,166,/-2,200,OK,Website1 1-1,text,true,,51393,704,1,1,https://www.w3schools.com/,158,0,136
1775597395502,218,/v1:GetHints?-3,200,OK,Website1 1-1,text,true,,598,646,1,1,https://optimizationguide-pa.googleapis.com/v1:GetHints?,212,0,139
1775597395723,362,/consent-require-renewal?_profile=stub-2-4,204,No Content,Website1 1-1,,false,"The operation lasted too long: It took 362 milliseconds, but should not have lasted longer than 250 milliseconds.",394,567,1,1,https://eu.fastcmp.com/consent-require-renewal?_profile=stub-2,0,0,115
1775597396086,339,/consent-require-renewal?_profile=stub-2-5,200,OK,Website1 1-1,text,false,"The operation lasted too long: It took 339 milliseconds, but should not have lasted longer than 250 milliseconds.",1003,3653,1,1,https://eu.fastcmp.com/consent-require-renewal?_profile=stub-2,339,0,0
1775597396426,82,/r/r1.crl-9,200,OK,Website1 1-1,text,true,,1705,150,1,1,http://c.pki.goog/r/r1.crl,82,0,44
1775597396821,205,/docs/common/netcheck.gif-1,200,OK,Website1 1-2,bin,true,,800,882,2,2,https://ssl.gstatic.com/docs/common/netcheck.gif?zx=v5bstbghcxzn,205,0,134
1775597397027,89,/-2,200,OK,Website1 1-2,text,true,,51393,704,2,2,https://www.w3schools.com/,83,0,51
1775597396510,674,/beacon-8,200,OK,Website1 1-1,text,false,"The operation lasted too long: It took 674 milliseconds, but should not have lasted longer than 250 milliseconds.",325,11833,2,2,https://t.fastcmp.com/beacon,674,0,489
1775597397117,264,/v1:GetHints?-3,200,OK,Website1 1-2,text,false,"The operation lasted too long: It took 264 milliseconds, but should not have lasted longer than 250 milliseconds.",617,646,2,2,https://optimizationguide-pa.googleapis.com/v1:GetHints?,252,0,173
1775597397385,265,/consent-require-renewal?_profile=stub-2-4,204,No Content,Website1 1-2,,false,"The operation lasted too long: It took 265 milliseconds, but should not have lasted longer than 250 milliseconds.",394,567,2,2,https://eu.fastcmp.com/consent-require-renewal?_profile=stub-2,0,0,47
1775597397189,615,/sync-6,200,OK,Website1 1-1,text,false,"The operation lasted too long: It took 615 milliseconds, but should not have lasted longer than 250 milliseconds.",1554,732,2,2,https://pbsj.bricks-co.com/sync?gdpr=0&gdpr_consent=&us_privacy=1---&cb=0.09964013445725473&if=0&origin=https%3A%2F%2Fwww.w3schools.com%2F&src=default&type=f,601,0,415
